DATAPAR,,,,,,,
EVENTS,CHRONO,N SIZE,M ITERS,CHUNK,N STREAMS,BLOCK,GRID
34.9234,124.5503333333,24576,10000,24576,0,1024,24
1178.71,1253.3166666667,24576,400000,24576,0,1024,24
2352.63,2425.65,24576,800000,24576,0,1024,24
58.0608,127.7526666667,49152,10000,49152,0,1024,48
2303.43,2375.6266666667,49152,400000,49152,0,1024,48
4601.0866666667,4676.5166666667,49152,800000,49152,0,1024,48
112.1286666667,180.658,98304,10000,98304,0,1024,96
4456.6633333333,4517.39,98304,400000,98304,0,1024,96
8910.3566666667,8983.6466666667,98304,800000,98304,0,1024,96
241.901,363.573,196608,10000,196608,0,1024,192
9627.5266666667,9699.31,196608,400000,196608,0,1024,192
19256.4333333333,19331.3666666667,196608,800000,196608,0,1024,192
441.5376666667,538.0013333333,393216,10000,393216,0,1024,384
17591.4666666667,17680.4333333333,393216,400000,393216,0,1024,384
35190.9,35278.8666666667,393216,800000,393216,0,1024,384
884.6433333333,964.262,786432,10000,786432,0,1024,768
35013.4666666667,35119.8,786432,400000,786432,0,1024,768
70397.2,70518.5333333333,786432,800000,786432,0,1024,768
LOWSTREAM,,,,,,,
EVENTS,CHRONO,N SIZE,M ITERS,CHUNK,N STREAMS,BLOCK,GRID
693.747,761.9306666667,24576,10000,1024,0,1024,1
27453.9333333333,27522.4666666667,24576,400000,1024,0,1024,1
54888.9333333333,54965.0333333333,24576,800000,1024,0,1024,1
1382.3633333333,1458.1866666667,49152,10000,1024,0,1024,1
54901.6333333333,54975.2,49152,400000,1024,0,1024,1
109783.666666667,109849.666666667,49152,800000,1024,0,1024,1
2765.3233333333,2841.7433333333,98304,10000,1024,0,1024,1
109799.333333333,109885.333333333,98304,400000,1024,0,1024,1
219553,219652.333333333,98304,800000,1024,0,1024,1
5528.96,5607.6933333333,196608,10000,1024,0,1024,1
219589,219661.333333333,196608,400000,1024,0,1024,1
439097.666666667,439175.333333333,196608,800000,1024,0,1024,1
11058.4333333333,11129.3666666667,393216,10000,1024,0,1024,1
439192.333333333,439262,393216,400000,1024,0,1024,1
878195,878273.333333333,393216,800000,1024,0,1024,1
22112.6,22186.5333333333,786432,10000,1024,0,1024,1
878433,878534.666666667,786432,400000,1024,0,1024,1
1756373.33333333,1756466.66666667,786432,800000,1024,0,1024,1
233.1086666667,302.8413333333,24576,10000,1024,3,1024,1
9263.94,9336.7766666667,24576,400000,1024,3,1024,1
18524.2,18615.9666666667,24576,800000,1024,3,1024,1
465.7866666667,531.0606666667,49152,10000,1024,3,1024,1
18530.7666666667,18640.4666666667,49152,400000,1024,3,1024,1
37044.6,37149.3666666667,49152,800000,1024,3,1024,1
931.0266666667,1008.9566666667,98304,10000,1024,3,1024,1
37054.3666666667,37130.0333333333,98304,400000,1024,3,1024,1
74102.8,74178.0333333333,98304,800000,1024,3,1024,1
1862.8766666667,1958.4633333333,196608,10000,1024,3,1024,1
74110.3333333333,74187.1666666667,196608,400000,1024,3,1024,1
148191.666666667,148268.666666667,196608,800000,1024,3,1024,1
3726.02,3798.2666666667,393216,10000,1024,3,1024,1
148205.333333333,148277.666666667,393216,400000,1024,3,1024,1
296353.666666667,296437.666666667,393216,800000,1024,3,1024,1
7448.9833333333,7521.3233333333,786432,10000,1024,3,1024,1
296345,296420.666666667,786432,400000,1024,3,1024,1
592643.333333333,592727.333333333,786432,800000,1024,3,1024,1
30.6074,105.1222,24576,10000,1024,24,1024,1
1178.72,1246.2966666667,24576,400000,1024,24,1024,1
2355.4133333333,2428.18,24576,800000,1024,24,1024,1
60.2087333333,129.384,49152,10000,1024,24,1024,1
2358.6566666667,2422.7566666667,49152,400000,1024,24,1024,1
4714.36,4783.5033333333,49152,800000,1024,24,1024,1
119.3446666667,190.1923333333,98304,10000,1024,24,1024,1
4715.1233333333,4794.9833333333,98304,400000,1024,24,1024,1
9425.92,9508.83,98304,800000,1024,24,1024,1
238.249,297.766,196608,10000,1024,24,1024,1
9429.89,9511.43,196608,400000,1024,24,1024,1
18853.9666666667,18919.0333333333,196608,800000,1024,24,1024,1
475.5906666667,551.301,393216,10000,1024,24,1024,1
18856.8,18930.8666666667,393216,400000,1024,24,1024,1
37705.6666666667,37775.1,393216,800000,1024,24,1024,1
949.497,1032.9533333333,786432,10000,1024,24,1024,1
37711.9,37786.2666666667,786432,400000,1024,24,1024,1
75445.2666666667,75524.0666666667,786432,800000,1024,24,1024,1
,,,,,,,
,,,,,,,
,,,,,,,
0,10000,4622.86,57344,693.747,24576,,
0,400000,181465.333333333,57344,27453.9333333333,24576,,
0,800000,361199.666666667,57344,54888.9333333333,24576,,
0,10000,9294.18,114688,1382.3633333333,49152,,
0,400000,281507,114688,54901.6333333333,49152,,
0,800000,407750.666666667,114688,109783.666666667,49152,,
0,10000,10217.9333333333,229376,2765.3233333333,98304,,
0,400000,407779.666666667,229376,109799.333333333,98304,,
0,800000,815513.666666667,229376,219553,98304,,
0,10000,20433.6333333333,458752,5528.96,196608,,
0,400000,815561,458752,219589,196608,,
0,800000,1631013.33333333,458752,439097.666666667,196608,,
0,10000,40865.4,917504,11058.4333333333,393216,,
0,400000,1631096.66666667,917504,439192.333333333,393216,,
0,800000,3261986.66666667,917504,878195,393216,,
0,10000,81731.7333333333,1835008,22112.6,786432,,
0,400000,3262250,1835008,878433,786432,,
0,800000,6617950,1835008,1756373.33333333,786432,,
3,10000,866.1236666667,57344,233.1086666667,24576,,
3,400000,34588.9666666667,57344,9263.94,24576,,
3,800000,69174.9333333333,57344,18524.2,24576,,
3,10000,1731.9533333333,114688,465.7866666667,49152,,
3,400000,69176.4666666667,114688,18530.7666666667,49152,,
3,800000,138338.666666667,114688,37044.6,49152,,
3,10000,3419.3166666667,229376,931.0266666667,98304,,
3,400000,136535.333333333,229376,37054.3666666667,98304,,
3,800000,273051,229376,74102.8,98304,,
3,10000,6837.8,458752,1862.8766666667,196608,,
3,400000,273067,458752,74110.3333333333,196608,,
3,800000,840550.666666667,458752,148191.666666667,196608,,
3,10000,24979.2666666667,917504,3726.02,393216,,
3,400000,965356.666666667,917504,148205.333333333,393216,,
3,800000,1139850,917504,296353.666666667,393216,,
3,10000,27260.5333333333,1835008,7448.9833333333,786432,,
3,400000,1088580,1835008,296345,786432,,
3,800000,2492966.66666667,1835008,592643.333333333,786432,,
24,10000,104.7726666667,57344,30.6074,24576,,
24,400000,3968.9133333333,57344,1178.72,24576,,
24,800000,7818.8433333333,57344,2355.4133333333,24576,,
24,10000,205.7296666667,114688,60.2087333333,49152,,
24,400000,7828.1933333333,114688,2358.6566666667,49152,,
24,800000,15691.8333333333,114688,4714.36,49152,,
24,10000,407.712,229376,119.3446666667,98304,,
24,400000,15687.9666666667,229376,4715.1233333333,98304,,
24,800000,31396,229376,9425.92,98304,,
24,10000,803.2236666667,458752,238.249,196608,,
24,400000,31422.0333333333,458752,9429.89,196608,,
24,800000,62818.7,458752,18853.9666666667,196608,,
24,10000,1619.5866666667,917504,475.5906666667,393216,,
24,400000,62793.4,917504,18856.8,393216,,
24,800000,125575,917504,37705.6666666667,393216,,
24,10000,3229.0633333333,1835008,949.497,786432,,
24,400000,125547.666666667,1835008,37711.9,786432,,
24,800000,251503,1835008,75445.2666666667,786432,,
