BLURBOX,,,,,,
EVENTS,CHRONO,NUM IMG,IMG SIZE,N STREAMS,BLOCK,GRID
1928.8766666667,2027.6933333333,2,1024,0,1024,3072
7369.49,7440.0066666667,2,2048,0,1024,12288
29222.2,29326.2666666667,1,4096,0,1024,49152
50971.8333333333,51039.8,1,8192,0,1024,196608
1608.7366666667,1717.1933333333,64,128,0,1024,48
6153.58,6241.51,256,128,0,1024,48
25422.7333333333,25524.0666666667,1024,128,0,1024,48
5099.54,5189.3733333333,64,256,0,1024,192
20633.2,20705.9333333333,256,256,0,1024,192
81256,81351.5333333333,1024,256,0,1024,192
15652.6333333333,15758.9666666667,64,512,0,1024,768
63566.5333333333,63664.2,256,512,0,1024,768
255928.333333333,256024,1024,512,0,1024,768
1547.52,1646.5033333333,64,128,3,1024,48
5477.0966666667,5601.0266666667,256,128,3,1024,48
21754.4666666667,21895.7666666667,1024,128,3,1024,48
4557.14,4649.05,64,256,3,1024,192
17582.4,17689.2333333333,256,256,3,1024,192
71291.5,71572.3666666667,1024,256,3,1024,192
14315.9333333333,14462.0666666667,64,512,3,1024,768
56507.8666666667,56773.5,256,512,3,1024,768
224832.333333333,225557.666666667,1024,512,3,1024,768
1482.0533333333,1572.0066666667,64,128,24,1024,48
5651.3833333333,5734.1766666667,256,128,24,1024,48
21790.8333333333,21928.5666666667,1024,128,24,1024,48
4461.85,4602.17,64,256,24,1024,192
17751.7666666667,17880.0333333333,256,256,24,1024,192
70421.1,70697.4666666667,1024,256,24,1024,192
13900.0333333333,14023.7,64,512,24,1024,768
54006.6666666667,54251.8,256,512,24,1024,768
226638,227432.333333333,1024,512,24,1024,768
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,CUDA Streams,Img Number,Img Size,Tesla M40,Tesla P100
,,0,64,128,1608.7366666667,
,,0,256,128,6153.58,
,,0,1024,128,25422.7333333333,
,,0,64,256,5099.54,
,,0,256,256,20633.2,
,,0,1024,256,81256,
,,0,64,512,15652.6333333333,
,,0,256,512,63566.5333333333,
,,0,1024,512,255928.333333333,
,,3,64,128,1547.52,
,,3,256,128,5477.0966666667,
,,3,1024,128,21754.4666666667,
,,3,64,256,4557.14,
,,3,256,256,17582.4,
,,3,1024,256,71291.5,
,,3,64,512,14315.9333333333,
,,3,256,512,56507.8666666667,
,,3,1024,512,224832.333333333,
,,24,64,128,1482.0533333333,
,,24,256,128,5651.3833333333,
,,24,1024,128,21790.8333333333,
,,24,64,256,4461.85,
,,24,256,256,17751.7666666667,
,,24,1024,256,70421.1,
,,24,64,512,13900.0333333333,
,,24,256,512,54006.6666666667,
,,24,1024,512,226638,
