#IMG,SIZE,ZERO/THREE,,,,,
64,128,1.0395579163,,,,,
256,128,1.1235113007,,,,,
1024,128,1.16862131,,,,,
64,256,1.1190220182,,,,,
256,256,1.1735144235,,,,,
1024,256,1.139771221,,,,,
64,512,1.0933714882,,,,,
256,512,1.1249147611,,,,,
1024,512,1.1383075092,,,,,
#IMG,SIZE,ZERO/CORES,,,,,
64,128,1.0854782554,,,,,
256,128,1.0888626089,,,,,
1024,128,1.1666710008,,,,,
64,256,1.1429205374,,,,,
256,256,1.1623181167,,,,,
1024,256,1.1538587156,,,,,
64,512,1.1260860286,,,,,
256,512,1.1770127145,,,,,
1024,512,1.1292384037,,,,,
#IMG,SIZE,CORES/DATAPAR,,,,,
2,1024,0.7683504907,,,,,
2,2048,0.7668622026,,,,,
1,4096,0.7456944834,,,,,
1,8192,0.0875355997,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,Tesla M40,,Tesla P100
,,,#IMG,SIZE,ZERO/THREE,ZERO/CORES,
,,,64,128,1.0395579163,1.0854782554,
,,,256,128,1.1235113007,1.0888626089,
,,,1024,128,1.16862131,1.1666710008,
,,,64,256,1.1190220182,1.1429205374,
,,,256,256,1.1735144235,1.1623181167,
,,,1024,256,1.139771221,1.1538587156,
,,,64,512,1.0933714882,1.1260860286,
,,,256,512,1.1249147611,1.1770127145,
,,,1024,512,1.1383075092,1.1292384037,
