#MAT,SIZE,ZERO/THREE
100,64,3.359845728983071
196,64,3.24679535912768
400,64,2.959957960237391
784,64,2.9543705954042068
100,128,1.6818603369340885
196,128,1.7708500737172992
400,128,1.9806644327634764
784,128,2.087315118261513
100,256,1.433944942365145
196,256,1.4500645685705111
400,256,1.5178615181695585
784,256,1.5778066412143634
100,512,1.2151849762230997
196,512,1.2231008417317413
400,512,1.2480559436952945
784,512,1.206935455773548
100,1024,1.0969543081760498
196,1024,1.102226531061724
400,1024,1.1029102138447773
784,1024,1.1178623816852045
#MAT,SIZE,ZERO/CORES
100,64,6.383953018027118
196,64,6.846465155386594
400,64,7.077528063743007
784,64,7.030910050810582
100,128,1.870921350636825
196,128,1.961866966281054
400,128,2.249262596755629
784,128,2.331242158092848
100,256,1.4331915111749027
196,256,1.4498972921033557
400,256,1.51702836722167
784,256,1.5773875690653025
100,512,1.215008703500741
196,512,1.2230304544991173
400,512,1.2480056598969227
784,512,1.2072474447242203
100,1024,1.0983288056523532
196,1024,1.101657360813374
400,1024,1.1023041446775386
784,1024,1.1174678276761223
#MAT,SIZE,CORES/DATAPAR
1,1280,0.01586109990561649
1,1792,0.011162583977667308
1,2560,0.0076219299001251605
1,3584,0.005521686777188661
1,5120,0.0018542239509981445
1,7168,0.0013185213565067978
