#MAT,SIZE,ZERO/THREE
225,128,3.3999462595655374
441,128,3.291772385381103
900,128,3.5271444930096707
1764,128,3.754624127396197
225,256,2.2548072379698096
441,256,2.3230893684008556
900,256,2.4294129962589617
1764,256,2.444716220109507
225,512,1.4260178861603157
441,512,1.4469511947510654
900,512,1.4094647091468715
1764,512,1.4034725616931945
225,1024,1.1736052893563753
441,1024,1.1709136368749749
900,1024,1.1693783061724714
1764,1024,1.1719164057949902
225,2048,1.0773465825164494
441,2048,1.0819670261751688
900,2048,1.0837554600432744
1764,2048,1.080172949501581
#MAT,SIZE,ZERO/CORES
225,128,4.162008702254061
441,128,4.31731219452361
900,128,4.821244970222371
1764,128,4.987448158924458
225,256,2.2606007286346563
441,256,2.3322920553650266
900,256,2.4364803075230044
1764,256,2.4516381601757615
225,512,1.4260502960260628
441,512,1.4469448992703253
900,512,1.4094667122389388
1764,512,1.4039555185279184
225,1024,1.1736971301310175
441,1024,1.170694850346765
900,1024,1.1695561716749354
1764,1024,1.1704837646844963
225,2048,1.077271858257564
441,2048,1.0818239241825427
900,2048,1.083121276375009
1764,2048,1.080259194708853
#MAT,SIZE,CORES/DATAPAR
1,1920,0.07213421207808819
1,2816,0.04518523962445047
1,3840,0.03309450638423445
1,5632,0.020594607169776426
1,7680,0.008265016752089566
1,11264,0.005134943059634182
