BLURBOX,,,,,,
EVENTS,CHRONO,NUM IMG,IMG SIZE,N STREAMS,BLOCK,GRID
1042.1233333333,1186.75,1,1024,0,1024,3072
2522.0766666667,2676.8133333333,1,2048,0,1024,12288
25430.7666666667,25561.5,1,4096,0,1024,49152
46776.4666666667,46916.9,1,8192,0,1024,196608
1425.9833333333,1551.62,64,128,0,1024,48
5670.5566666667,5828.59,256,128,0,1024,48
22774.7333333333,22898.1666666667,1024,128,0,1024,48
4648.4466666667,4784.9,64,256,0,1024,192
18077.1666666667,18241.7666666667,256,256,0,1024,192
73411.1333333333,73577.7,1024,256,0,1024,192
14281.8,14429.8333333333,64,512,0,1024,768
56694.1333333333,56857.0666666667,256,512,0,1024,768
224584.666666667,224709,1024,512,0,1024,768
963.1716666667,1110.73,64,128,3,1024,48
3851.38,3983.5033333333,256,128,3,1024,48
15387,15556,1024,128,3,1024,48
3933.31,4063.4,64,256,3,1024,192
15724.8,15888.1666666667,256,256,3,1024,192
60029.0666666667,60369.5333333333,1024,256,3,1024,192
11833.2,12015.6333333333,64,512,3,1024,768
49691.8,50026.4333333333,256,512,3,1024,768
197940.333333333,198738.333333333,1024,512,3,1024,768
1043.4733333333,1175.93,64,128,56,1024,48
4178.6333333333,4329.08,256,128,56,1024,48
16213.8666666667,16417.7333333333,1024,128,56,1024,48
3766.4833333333,3930.66,64,256,56,1024,192
15682.6666666667,15851.1333333333,256,256,56,1024,192
63726.1666666667,64073.5333333333,1024,256,56,1024,192
12902.0666666667,13068.4666666667,64,512,56,1024,768
51737.7333333333,52039.9,256,512,56,1024,768
208308.333333333,209162,1024,512,56,1024,768
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,P100,,M40,
Img Number,Img Size,Streams 56,Datapar,Streams 24,Data Par,Datapar Img Size
64,128,1043.4733,1042.1233,1482.0533,1928.8767,1024
256,128,4178.6333,2522.0767,5651.3833,7369.4900,2048
1024,128,16213.8667,25430.7667,21790.8333,29222.2000,4096
64,256,3766.4833,2522.0767,4461.8500,7369.4900,2048
256,256,15682.6667,25430.7667,17751.7667,29222.2000,4096
1024,256,63726.1667,46776.4667,70421.1000,50971.8333,8192
64,512,12902.0667,25430.7667,13900.0333,29222.2000,4096
256,512,51737.7333,46776.4667,54006.6667,50971.8333,8192
,,,,,,
,,,,,,
1024,512,208308.333333333,,,226638,
,,,,,,
,,1042.1233333333,1024,,,
,,2522.0766666667,2048,,,
,,25430.7666666667,4096,,,
,,46776.4666666667,8192,,,
,,,,,,50971.8333333333
