#IMG,SIZE,ZERO/THREE
64,128,1.4805079745216756
256,128,1.4723441121537386
1024,128,1.4801282467884145
64,256,1.1818154853460996
256,256,1.1495959673043006
1024,256,1.2229264489647236
64,512,1.2069262752256364
256,512,1.140915268380967
1024,512,1.1346079037285646
#IMG,SIZE,ZERO/CORES
64,128,1.3665738143763457
256,128,1.3570361920564136
1024,128,1.4046454064011056
64,256,1.234160954736735
256,256,1.1526844924332598
1024,256,1.1519778636196016
64,512,1.1069389400147782
256,512,1.0957985532158347
1024,512,1.0781357762931552
#IMG,SIZE,CORES/DATAPAR
1,1024,1.001295432082575
1,2048,1.6568224862315841
1,4096,0.6375689289744836
1,8192,0.08052090296117563
