DATAPAR,,,,,,,
EVENTS,CHRONO,N SIZE,M ITERS,CHUNK,N STREAMS,BLOCK,GRID
51.3901333333,183.1823333333,57344,10000,57344,0,1024,56
1825.36,1953.1033333333,57344,400000,57344,0,1024,56
3648.6333333333,3778.0666666667,57344,800000,57344,0,1024,56
90.2111,219.979,114688,10000,114688,0,1024,112
3574.74,3704.68,114688,400000,114688,0,1024,112
7145.6633333333,7274.7066666667,114688,800000,114688,0,1024,112
179.2643333333,313.7516666667,229376,10000,229376,0,1024,224
7124.46,7266.2366666667,229376,400000,229376,0,1024,224
24437.4333333333,24599.4,229376,800000,229376,0,1024,224
669.5133333333,837.9923333333,458752,10000,458752,0,1024,448
26757.7,26927.0666666667,458752,400000,458752,0,1024,448
52896.3666666667,53052.9333333333,458752,800000,458752,0,1024,448
1361.9133333333,1557.55,917504,10000,917504,0,1024,896
53258.9666666667,53428.3333333333,917504,400000,917504,0,1024,896
105657,105838,917504,800000,917504,0,1024,896
2682.6766666667,2873.9033333333,1835008,10000,1835008,0,1024,1792
105891,106109,1835008,400000,1835008,0,1024,1792
209018.666666667,209234,1835008,800000,1835008,0,1024,1792
LOWSTREAM,,,,,,,
EVENTS,CHRONO,N SIZE,M ITERS,CHUNK,N STREAMS,BLOCK,GRID
4622.86,4785.7966666667,57344,10000,1024,0,1024,1
181465.333333333,181628.333333333,57344,400000,1024,0,1024,1
361199.666666667,361346.333333333,57344,800000,1024,0,1024,1
9294.18,9448.8666666667,114688,10000,1024,0,1024,1
281507,281648.666666667,114688,400000,1024,0,1024,1
407750.666666667,407861.666666667,114688,800000,1024,0,1024,1
10217.9333333333,10334.9,229376,10000,1024,0,1024,1
407779.666666667,407893.666666667,229376,400000,1024,0,1024,1
815513.666666667,815621,229376,800000,1024,0,1024,1
20433.6333333333,20547.9,458752,10000,1024,0,1024,1
815561,815665,458752,400000,1024,0,1024,1
1631013.33333333,1631113.33333333,458752,800000,1024,0,1024,1
40865.4,40976.5666666667,917504,10000,1024,0,1024,1
1631096.66666667,1631193.33333333,917504,400000,1024,0,1024,1
3261986.66666667,3262076.66666667,917504,800000,1024,0,1024,1
81731.7333333333,81843.3666666667,1835008,10000,1024,0,1024,1
3262250,3262333.33333333,1835008,400000,1024,0,1024,1
6617950,6618036.66666667,1835008,800000,1024,0,1024,1
866.1236666667,990.8486666667,57344,10000,1024,3,1024,1
34588.9666666667,34716.6333333333,57344,400000,1024,3,1024,1
69174.9333333333,69296.3,57344,800000,1024,3,1024,1
1731.9533333333,1853.8333333333,114688,10000,1024,3,1024,1
69176.4666666667,69297.7666666667,114688,400000,1024,3,1024,1
138338.666666667,138460.333333333,114688,800000,1024,3,1024,1
3419.3166666667,3545.86,229376,10000,1024,3,1024,1
136535.333333333,136659,229376,400000,1024,3,1024,1
273051,273172,229376,800000,1024,3,1024,1
6837.8,6955.3266666667,458752,10000,1024,3,1024,1
273067,273181.333333333,458752,400000,1024,3,1024,1
840550.666666667,840684.666666667,458752,800000,1024,3,1024,1
24979.2666666667,25134.8,917504,10000,1024,3,1024,1
965356.666666667,965529.333333333,917504,400000,1024,3,1024,1
1139850,1139976.66666667,917504,800000,1024,3,1024,1
27260.5333333333,27375.4333333333,1835008,10000,1024,3,1024,1
1088580,1088693.33333333,1835008,400000,1024,3,1024,1
2492966.66666667,2493060,1835008,800000,1024,3,1024,1
104.7726666667,274.8996666667,57344,10000,1024,56,1024,1
3968.9133333333,4134.2,57344,400000,1024,56,1024,1
7818.8433333333,7981.1933333333,57344,800000,1024,56,1024,1
205.7296666667,371.816,114688,10000,1024,56,1024,1
7828.1933333333,7991.7633333333,114688,400000,1024,56,1024,1
15691.8333333333,15870.6666666667,114688,800000,1024,56,1024,1
407.712,576.721,229376,10000,1024,56,1024,1
15687.9666666667,15857.1333333333,229376,400000,1024,56,1024,1
31396,31560.6666666667,229376,800000,1024,56,1024,1
803.2236666667,966.8623333333,458752,10000,1024,56,1024,1
31422.0333333333,31594.8,458752,400000,1024,56,1024,1
62818.7,62966.3,458752,800000,1024,56,1024,1
1619.5866666667,1788.8566666667,917504,10000,1024,56,1024,1
62793.4,62960.2666666667,917504,400000,1024,56,1024,1
125575,125743.666666667,917504,800000,1024,56,1024,1
3229.0633333333,3387.35,1835008,10000,1024,56,1024,1
125547.666666667,125718.333333333,1835008,400000,1024,56,1024,1
251503,251671,1835008,800000,1024,56,1024,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,N SIZE,M ITERS,56 Streams,Data Par P100,24 Streams,Data Par M40
,,57344,10000,104.7727,51.3901,30.6074,34.9234
,,57344,400000,3968.9133,1825.3600,1178.7200,1178.7100
