N,M,ZERO/THREE
57344,10000,5.337413325502785
57344,400000,5.246335777593819
57344,800000,5.221539787051958
114688,10000,5.36629932292248
114688,400000,4.06940414225647
114688,800000,2.9474815428802748
229376,10000,2.9882968819305997
229376,400000,2.986623731097689
229376,800000,2.986671598590251
458752,10000,2.9883344545516586
458752,400000,2.986669938147048
458752,800000,1.9404104928039239
917504,10000,1.6359727667478896
917504,400000,1.6896311207947323
917504,800000,2.8617683613340934
1835008,10000,2.9981707376720435
1835008,400000,2.996793988498778
1835008,800000,2.6546484108625603
N,M,ZERO/CORES
57344,10000,44.122767388441005
57344,400000,45.72166688782992
57344,800000,46.1960486056548
114688,10000,45.17666387443716
114688,400000,35.960660143805
114688,800000,25.984896602266573
229376,10000,25.061644821180963
229376,400000,25.99314973897191
229376,800000,25.975081751390835
458752,10000,25.439530956715664
458752,400000,25.95506762240084
458752,800000,25.963818629378405
917504,10000,25.23199334809704
917504,400000,25.97560677820705
917504,800000,25.97640188466388
1835008,10000,25.31128221909553
1835008,400000,25.9841547566263
1835008,800000,26.313602621042293
N,M,CORES/DATAPAR
57344,10000,2.038770088162189
57344,400000,2.1743181253743558
57344,800000,2.142951242017559
114688,10000,2.280536061157293
114688,400000,2.1898636917183723
114688,800000,2.195993933849855
229376,10000,2.274362068676982
229376,400000,2.2019867704593286
229376,800000,1.2847503079292288
458752,10000,1.1997127266571739
458752,400000,1.1743174238941814
458752,800000,1.187580621479358
917504,10000,1.189199508534562
917504,400000,1.1790202463560127
917504,800000,1.1885156686258365
1835008,10000,1.2036722030111715
1835008,400000,1.1856311364201553
1835008,800000,1.2032561685080758
