DATAPAR
EVENTS,CHRONO,N SIZE,M ITERS,CHUNK,N STREAMS,BLOCK,GRID
51.7426,309.459,57344,10000,57344,0,1024,56
1825.7866666666669,2004.1466666666665,57344,400000,57344,0,1024,56
3648.77,3815.566666666667,57344,800000,57344,0,1024,56
90.73863333333334,419.85099999999994,114688,10000,114688,0,1024,112
3574.5766666666664,3738.35,114688,400000,114688,0,1024,112
7145.88,7358.623333333333,114688,800000,114688,0,1024,112
180.68133333333336,462.49466666666666,229376,10000,229376,0,1024,224
7121.87,7292.706666666666,229376,400000,229376,0,1024,224
14248.566666666666,14421.4,229376,800000,229376,0,1024,224
357.44,526.384,458752,10000,458752,0,1024,448
14205.966666666667,14414.1,458752,400000,458752,0,1024,448
28403.733333333334,28572.533333333336,458752,800000,458752,0,1024,448
711.9536666666667,896.7126666666667,917504,10000,917504,0,1024,896
28316.466666666664,28497.399999999998,917504,400000,917504,0,1024,896
56599.23333333334,56852.299999999996,917504,800000,917504,0,1024,896
1423.256666666667,1638.5100000000002,1835008,10000,1835008,0,1024,1792
56484.166666666664,56688.56666666667,1835008,400000,1835008,0,1024,1792
112946.0,113216.66666666667,1835008,800000,1835008,0,1024,1792
LOWSTREAM
EVENTS,CHRONO,N SIZE,M ITERS,CHUNK,N STREAMS,BLOCK,GRID
2563.4166666666665,2730.09,57344,10000,1024,0,1024,1
101958.0,102118.33333333333,57344,400000,1024,0,1024,1
203892.66666666666,204083.66666666666,57344,800000,1024,0,1024,1
5124.343333333333,5365.419999999999,114688,10000,1024,0,1024,1
203904.66666666666,204076.0,114688,400000,1024,0,1024,1
407765.3333333333,407990.3333333333,114688,800000,1024,0,1024,1
10260.633333333333,10416.266666666665,229376,10000,1024,0,1024,1
407828.6666666667,408107.6666666667,229376,400000,1024,0,1024,1
815516.3333333334,815630.6666666666,229376,800000,1024,0,1024,1
20434.43333333333,20555.63333333333,458752,10000,1024,0,1024,1
815555.6666666666,815671.6666666666,458752,400000,1024,0,1024,1
1631013.3333333333,1631120.0,458752,800000,1024,0,1024,1
40868.166666666664,40987.76666666666,917504,10000,1024,0,1024,1
1631126.6666666667,1631233.3333333333,917504,400000,1024,0,1024,1
3262123.3333333335,3262256.6666666665,917504,800000,1024,0,1024,1
82210.7,82464.26666666666,1835008,10000,1024,0,1024,1
3262683.3333333335,3262916.6666666665,1835008,400000,1024,0,1024,1
6524510.0,6524666.666666667,1835008,800000,1024,0,1024,1
866.5923333333334,1047.21,57344,10000,1024,3,1024,1
34588.56666666667,34893.333333333336,57344,400000,1024,3,1024,1
69172.86666666667,69405.96666666666,57344,800000,1024,3,1024,1
1732.18,1911.0033333333333,114688,10000,1024,3,1024,1
69172.73333333332,69335.83333333333,114688,400000,1024,3,1024,1
138338.0,138513.66666666666,114688,800000,1024,3,1024,1
3419.08,3663.4166666666665,229376,10000,1024,3,1024,1
136534.0,136769.66666666666,229376,400000,1024,3,1024,1
273048.3333333333,273228.6666666667,229376,800000,1024,3,1024,1
6837.413333333334,7075.099999999999,458752,10000,1024,3,1024,1
273060.3333333333,273231.6666666667,458752,400000,1024,3,1024,1
546084.6666666666,546265.3333333334,458752,800000,1024,3,1024,1
13631.233333333332,13755.333333333334,917504,10000,1024,3,1024,1
544308.0,544432.6666666666,917504,400000,1024,3,1024,1
1088546.6666666667,1088666.6666666667,917504,800000,1024,3,1024,1
27260.36666666667,27389.2,1835008,10000,1024,3,1024,1
1088600.0,1088726.6666666667,1835008,400000,1024,3,1024,1
2177090.0,2177203.3333333335,1835008,800000,1024,3,1024,1
79.6807,236.68800000000002,57344,10000,1024,56,1024,1
3313.72,3490.443333333333,57344,400000,1024,56,1024,1
6622.153333333333,6782.68,57344,800000,1024,56,1024,1
166.46133333333333,353.39433333333335,114688,10000,1024,56,1024,1
6667.46,6823.169999999999,114688,400000,1024,56,1024,1
13281.5,13454.433333333332,114688,800000,1024,56,1024,1
344.5726666666667,487.748,229376,10000,1024,56,1024,1
12948.299999999997,13079.299999999997,229376,400000,1024,56,1024,1
25362.300000000003,25511.100000000002,229376,800000,1024,56,1024,1
682.9913333333334,852.8216666666666,458752,10000,1024,56,1024,1
26693.966666666664,26857.7,458752,400000,1024,56,1024,1
53401.63333333334,53578.19999999999,458752,800000,1024,56,1024,1
1261.8166666666666,1437.9866666666667,917504,10000,1024,56,1024,1
51811.23333333334,51976.46666666667,917504,400000,1024,56,1024,1
106899.0,107055.66666666667,917504,800000,1024,56,1024,1
2695.4366666666665,2867.9133333333334,1835008,10000,1024,56,1024,1
106903.0,107073.66666666667,1835008,400000,1024,56,1024,1
213649.0,213824.0,1835008,800000,1024,56,1024,1
