N,M,ZERO/THREE
57344,10000,2.9580421705400113
57344,400000,2.9477370653308363
57344,800000,2.947581566182501
114688,10000,2.958320343921147
114688,400000,2.947760726529047
114688,800000,2.9476017676512116
229376,10000,3.0009924697092005
229376,400000,2.9870117821690325
229376,800000,2.9867105335441226
458752,10000,2.988620452958818
458752,400000,2.986723324881803
458752,800000,2.98674076181105
917504,10000,2.9981268508352144
917504,400000,2.996697947975534
917504,800000,2.996769392829583
1835008,10000,3.0157591423935357
1835008,400000,2.9971369955294263
1835008,800000,2.9968949377379897
N,M,ZERO/CORES
57344,10000,32.17111128123456
57344,400000,30.768441509843925
57344,800000,30.789481367088047
114688,10000,30.78398587059257
114688,400000,30.58206073477256
114688,800000,30.701753065040343
229376,10000,29.77785043890113
229376,400000,31.496695833944745
229376,800000,32.15466788632472
458752,10000,29.919022886576396
458752,400000,30.55205982875032
458752,800000,30.542386656088542
917504,10000,32.388355413491134
917504,400000,31.482104588644546
917504,800000,30.51593872097338
1835008,10000,30.49995609864079
1835008,400000,30.520035296795538
1835008,800000,30.538453257445624
N,M,CORES/DATAPAR
57344,10000,1.5399438760325148
57344,400000,1.8149546496852496
57344,800000,1.8149001809742278
114688,10000,1.8345144423966415
114688,400000,1.8652446490167136
114688,800000,1.858623430564185
229376,10000,1.9070739644752086
229376,400000,1.8181039530348064
229376,800000,1.779989566201981
458752,10000,1.9107859594151002
458752,400000,1.8790672463917741
458752,800000,1.8800920536267534
917504,10000,1.7723297536684268
917504,400000,1.8297209868462876
917504,800000,1.888700494765241
1835008,10000,1.8938514252524137
1835008,400000,1.892618875496083
1835008,800000,1.891603066952349
