DATAPAR
EVENTS,CHRONO,N SIZE,M ITERS,CHUNK,N STREAMS,BLOCK,GRID
51.3901333333,183.1823333333,57344,10000,57344,0,1024,56
1825.36,1953.1033333333,57344,400000,57344,0,1024,56
3648.6333333333,3778.0666666667,57344,800000,57344,0,1024,56
90.2111,219.979,114688,10000,114688,0,1024,112
3574.74,3704.68,114688,400000,114688,0,1024,112
7145.6633333333,7274.7066666667,114688,800000,114688,0,1024,112
179.2643333333,313.7516666667,229376,10000,229376,0,1024,224
7124.46,7266.2366666667,229376,400000,229376,0,1024,224
24437.4333333333,24599.4,229376,800000,229376,0,1024,224
669.5133333333,837.9923333333,458752,10000,458752,0,1024,448
26757.7,26927.0666666667,458752,400000,458752,0,1024,448
52896.3666666667,53052.9333333333,458752,800000,458752,0,1024,448
1361.9133333333,1557.55,917504,10000,917504,0,1024,896
53258.9666666667,53428.3333333333,917504,400000,917504,0,1024,896
105657,105838,917504,800000,917504,0,1024,896
2682.6766666667,2873.9033333333,1835008,10000,1835008,0,1024,1792
105891,106109,1835008,400000,1835008,0,1024,1792
209018.666666667,209234,1835008,800000,1835008,0,1024,1792
STREAM
EVENTS,CHRONO,N SIZE,M ITERS,CHUNK,N STREAMS,BLOCK,GRID
1280.1633333333,1411.0666666667,57344,10000,2048,0,1024,2
50993.6,51125.1,57344,400000,2048,0,1024,2
101965,102097,57344,800000,2048,0,1024,2
2560.2533333333,2697.4533333333,114688,10000,2048,0,1024,2
101979.666666667,102114.666666667,114688,400000,2048,0,1024,2
203922.333333333,204061.333333333,114688,800000,2048,0,1024,2
5123.7333333333,5253.1866666667,229376,10000,2048,0,1024,2
235966.666666667,236101.333333333,229376,400000,2048,0,1024,2
840819.666666667,840995,229376,800000,2048,0,1024,2
21170.2666666667,21357.3666666667,458752,10000,2048,0,1024,2
827051.333333333,827299.666666667,458752,400000,2048,0,1024,2
1661873.33333333,1662083.33333333,458752,800000,2048,0,1024,2
41153.9666666667,41393.9666666667,917504,10000,2048,0,1024,2
1663250,1663506.66666667,917504,400000,2048,0,1024,2
3046710,3046913.33333333,917504,800000,2048,0,1024,2
41048.2666666667,41212.6,1835008,10000,2048,0,1024,2
2819553.33333333,2819676.66666667,1835008,400000,2048,0,1024,2
3262693.33333333,3262776.66666667,1835008,800000,2048,0,1024,2
456.5603333333,570.813,57344,10000,2048,3,1024,2
18212.9,18326.2666666667,57344,400000,2048,3,1024,2
36411.4,36524.6,57344,800000,2048,3,1024,2
867.679,982.244,114688,10000,2048,3,1024,2
34601.0333333333,34719.1333333333,114688,400000,2048,3,1024,2
69186.7333333333,69353.5666666667,114688,800000,2048,3,1024,2
1735.1066666667,1885.7766666667,229376,10000,2048,3,1024,2
69200.6,69359.1333333333,229376,400000,2048,3,1024,2
138371.333333333,138527.666666667,229376,800000,2048,3,1024,2
3423.83,3575.0433333333,458752,10000,2048,3,1024,2
146805,146962,458752,400000,2048,3,1024,2
273110.333333333,273248,458752,800000,2048,3,1024,2
6847.7,6979.68,917504,10000,2048,3,1024,2
273130,273257.666666667,917504,400000,2048,3,1024,2
546187.666666667,546304,917504,800000,2048,3,1024,2
13650.6333333333,13768.2333333333,1835008,10000,2048,3,1024,2
544489,544599.666666667,1835008,400000,2048,3,1024,2
1156846.66666667,1156986.66666667,1835008,800000,2048,3,1024,2
47.9139333333,268.3853333333,57344,10000,2048,56,1024,2
1827.08,2003.5866666667,57344,400000,2048,56,1024,2
3650.68,3851.5833333333,57344,800000,2048,56,1024,2
92.5121,272.0203333333,114688,10000,2048,56,1024,2
3578.2366666667,3782.65,114688,400000,2048,56,1024,2
7150.5166666667,7345.51,114688,800000,2048,56,1024,2
200.1006666667,397.9533333333,229376,10000,2048,56,1024,2
7200.2466666667,7415.0533333333,229376,400000,2048,56,1024,2
14344.0666666667,14579.6,229376,800000,2048,56,1024,2
362.976,556.8603333333,458752,10000,2048,56,1024,2
14229.4666666667,14420.0666666667,458752,400000,2048,56,1024,2
28424.4333333333,28630.2333333333,458752,800000,2048,56,1024,2
778.3273333333,964.286,917504,10000,2048,56,1024,2
30505.6,30701.2,917504,400000,2048,56,1024,2
60447.9666666667,60640.9333333333,917504,800000,2048,56,1024,2
1511.1066666667,1708.96,1835008,10000,2048,56,1024,2
61361.6,61576.1666666667,1835008,400000,2048,56,1024,2
120111.333333333,120312.666666667,1835008,800000,2048,56,1024,2
