MATMULSQUARE
EVENTS,CHRONO,NUM MAT,MAT SIZE,N STREAMS,BLOCK,GRID
289.4026666667,561.9653333333,1,1920,0,3,32
898.044,1351.94,1,2816,0,3,32
2256.0733333333,2990.2,1,3840,0,3,32
7063.8233333333,8510.7533333333,1,5632,0,3,32
17878.3666666667,20475,1,7680,0,3,32
56190.3666666667,61502.2,1,11264,0,3,32
86.8854,341.5686666667,225,128,0,3,32
175.1893333333,571.5316666667,441,128,0,3,32
359.9716666667,1055.9233333333,900,128,0,3,32
725.5573333333,1984.2833333333,1764,128,0,3,32
334.0376666667,1028.6133333333,225,256,0,3,32
672.9463333333,1935.6866666667,441,256,0,3,32
1435,3906.65,900,256,0,3,32
2828.5366666667,7623.3533333333,1764,256,0,3,32
1673.2133333333,4235.4433333333,225,512,0,3,32
3325.6533333333,8309.1533333333,441,512,0,3,32
6611.7566666667,16290.1666666667,900,512,0,3,32
12919.6666666667,31577,1764,512,0,3,32
10998.7666666667,20563.0666666667,225,1024,0,3,32
21511.1666666667,40211.5333333333,441,1024,0,3,32
43828.7666666667,81796.1,900,1024,0,3,32
85853.0333333333,160777.333333333,1764,1024,0,3,32
80764.8666666667,119550.333333333,225,2048,0,3,32
158136.333333333,234401.333333333,441,2048,0,3,32
309724.666666667,234401.333333333,900,2048,0,3,32
604324,234401.333333333,1764,2048,0,3,32
25.5549333333,305.373,225,128,3,3,32
53.2203666667,496.4773333333,441,128,3,3,32
102.0575333333,846.1033333333,900,128,3,3,32
193.2436666667,1561.2266666667,1764,128,3,3,32
148.1446666667,909.4696666667,225,256,3,3,32
289.6773333333,1671.94,441,256,3,3,32
590.6776666667,3289.9633333333,900,256,3,3,32
1157,6405.1966666667,1764,256,3,3,32
1173.3466666667,3935.9566666667,225,512,3,3,32
2298.3866666667,7520.6666666667,441,512,3,3,32
4690.97,15221.6333333333,900,512,3,3,32
9205.5,29568.8,1764,512,3,3,32
9371.7766666667,19890.8666666667,225,1024,3,3,32
18371.2666666667,38740.8,441,1024,3,3,32
37480.4,78742.1666666667,900,1024,3,3,32
73258.6666666667,78742.1666666667,1764,1024,3,3,32
74966.4666666667,115907.333333333,225,2048,3,3,32
146156.333333333,115907.333333333,441,2048,3,3,32
285788.333333333,115907.333333333,900,2048,3,32,64
559469.666666667,115907.333333333,1764,2048,3,3,32
20.8758333333,293.3683333333,225,128,56,3,32
40.5783333333,461.8096666667,441,128,56,3,32
74.6636333333,827.289,900,128,56,3,32
145.4766666667,1539.1,1764,128,56,3,32
147.765,903.7696666667,225,256,56,3,32
288.5343333333,1646.0266666667,441,256,56,3,32
588.9643333333,3283.2933333333,900,256,56,3,32
1153.7333333333,6289.0966666667,1764,256,56,3,32
1173.32,3870.5166666667,225,512,56,3,32
2298.3966666667,7441.82,441,512,56,3,32
4690.9633333333,15045.1,900,512,56,3,32
9202.3333333333,29421.9,1764,512,56,3,32
9371.0433333333,19778.3,225,1024,56,3,32
18374.7,38504.8,441,1024,56,3,32
37474.7,78235.2333333333,900,1024,56,3,32
73348.3333333333,78235.2333333333,1764,1024,56,3,32
74971.6666666667,116652.666666667,225,2048,56,3,32
146175.666666667,116652.666666667,441,2048,56,3,32
285955.666666667,116652.666666667,900,2048,56,3,32
559425,116652.666666667,1764,2048,56,3,32
